isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0126542036,Amundi Corto Plazo A FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0127097030,Dux Rentinver Renta Fija FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Diversificada EUR,0.0,100.0,0.0,0.0
ES0127795005,EDM Renta R FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0138922036,Gesconsult Corto Plazo A FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0142167032,SIH Renta Fija A FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Diversificada EUR,0.0,100.0,0.0,0.0
ES0155598008,UBS Corto Plazo A FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0155598032,UBS Corto Plazo B FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0156873004,A&G Renta Fija Corto Plazo FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0168662031,Trea Renta Fija FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Diversificada EUR,0.0,100.0,0.0,0.0
FR0010829697,Amundi Enhanced Ultra Short Term Bond Select P-C,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
FR0010950055,AXA IM Euro 6M E,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
FR0011288513,Sycomore Sélection Crédit R,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,UNKNOWN,MEDIUM,False,0.9324,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU0086177085,UBS (Lux) Bond Fund - Euro High Yield (EUR) P-acc,ALL_CONFLICTS,35,FIXED_INCOME,HIGH_YIELD_BOND,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,UNKNOWN,MEDIUM,False,0.9324,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
LU0102737730,Invesco Funds - Invesco Euro Ultra-Short Term Debt Fund A Accumulation EUR,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU0102737904,Invesco Funds - Invesco Euro Ultra-Short Term Debt Fund C Accumulation EUR,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU0447425785,SIH FCP - Short Term EUR A Classic,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU0571101558,Groupama Euro High Yield NC,ALL_CONFLICTS,35,FIXED_INCOME,HIGH_YIELD_BOND,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,UNKNOWN,MEDIUM,False,0.9324,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
LU0616839501,DWS Invest Euro High Yield Corporates LC,ALL_CONFLICTS,35,FIXED_INCOME,HIGH_YIELD_BOND,UNKNOWN,UNKNOWN,UNKNOWN,LOW_QUALITY,UNKNOWN,MEDIUM,False,0.9324,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Bonos Alto Rendimiento EUR,0.0,100.0,0.0,0.0
LU1021288268,AB - Mortgage Income Portfolio A2 EUR Acc,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,LOW,False,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Flexible USD,0.0,100.0,0.0,0.0
LU1697013008,SIH FCP - Flexible Fixed Income USD,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,LOW,False,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Flexible USD,0.0,100.0,0.0,0.0
LU1902444584,CPR Invest - Climate Bonds Euro - A EUR - Acc,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU1965927921,DWS Invest ESG Floating Rate Notes LC,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
LU1982200609,DWS Invest Corporate Green Bonds LC,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
LU2222028099,Merchbanc FCP Renta Fija Flex A,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,LOW,False,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
LU2278574988,Buy & Hold Luxembourg B&H Bond Class 2,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FLEXIBLE,LOW,False,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Flexible EUR,0.0,100.0,0.0,0.0
ES0114633003,Panda Agriculture & Water Fund FI,ALL_CONFLICTS,30,EQUITY,THEMATIC_EQUITY,UNKNOWN,UNKNOWN,SMALL,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,Otros,Sector Equity Agriculture,100.0,0.0,0.0,0.0
IE00B28YJQ65,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund Inc (EUR),ALL_CONFLICTS,30,EQUITY,SECTOR_EQUITY_HEALTHCARE,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,RV,RV Sector Salud,100.0,0.0,0.0,0.0
IE00B3NLSS43,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund R Inc (EUR),ALL_CONFLICTS,30,EQUITY,SECTOR_EQUITY_HEALTHCARE,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,RV,RV Sector Salud,100.0,0.0,0.0,0.0
IE00BKSBDB61,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities R Acc (EUR),ALL_CONFLICTS,30,EQUITY,SECTOR_EQUITY_HEALTHCARE,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,RV,RV Sector Salud,100.0,0.0,0.0,0.0
LU2348336004,FF - Climate Solutions Fund E-ACC-EUR,ALL_CONFLICTS,30,EQUITY,THEMATIC_EQUITY,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,RV,RV Sector Ecología,100.0,0.0,0.0,0.0
LU2376061086,FF - Climate Solutions Fund A-Acc-EUR,ALL_CONFLICTS,30,EQUITY,THEMATIC_EQUITY,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY,RV,RV Sector Ecología,100.0,0.0,0.0,0.0
FR0010172767,EdR SICAV - Euro Sustainable Credit A EUR,ALL_CONFLICTS,25,FIXED_INCOME,CORPORATE_BOND,EUROZONE,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
FR0013201001,EdR SICAV - Euro Sustainable Credit R EUR,ALL_CONFLICTS,25,FIXED_INCOME,CORPORATE_BOND,EUROZONE,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,LOW,True,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,RF,RF Deuda Corporativa EUR,0.0,100.0,0.0,0.0
IE00B4XYLM55,Jupiter Emerging Market Debt Income Fund L EUR Acc,ALL_CONFLICTS,25,FIXED_INCOME,EMERGING_MARKETS_BOND,GLOBAL,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,MEDIUM,False,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,RF,RF Deuda Corporativa Global Emergente,0.0,100.0,0.0,0.0
IE00BD4GTQ32,FTGF ClearBridge Infrastructure Value Fund Class A Euro Accumulating,ALL_CONFLICTS,25,EQUITY,UNKNOWN,UNKNOWN,LARGE_VALUE,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,HEURISTIC_STYLE_DEDUCTION,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RV,RV Sector Infraestructura,100.0,0.0,0.0,0.0
IE00BMD7ZB71,Neuberger Berman Next Generation Connectivity Fund EUR A Accumulating Class - Unhedged,ALL_CONFLICTS,25,EQUITY,SECTOR_EQUITY_TECH,US,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,REGION_PRIMARY_BORDERLINE,EQUITY_WITHOUT_STYLE_BOX,RV,RV Sector Tecnología,100.0,0.0,0.0,0.0
LU0077500055,Candriam Bonds Euro Long Term Class C EUR Cap,ALL_CONFLICTS,25,FIXED_INCOME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,LONG,LOW,True,0.8848,0.45,FI_UNKNOWN_SUBTYPE,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RF,RF Largo Plazo EUR,0.0,100.0,0.0,0.0
LU0280435388,Pictet - Clean Energy Transition P EUR,ALL_CONFLICTS,25,EQUITY,THEMATIC_EQUITY,US,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,REGION_PRIMARY_BORDERLINE,EQUITY_WITHOUT_STYLE_BOX,Otros,RV Sector Energía Alternativa,100.0,0.0,0.0,0.0
LU0280435461,Pictet-Clean Energy Transition R EUR,ALL_CONFLICTS,25,EQUITY,THEMATIC_EQUITY,US,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,REGION_PRIMARY_BORDERLINE,EQUITY_WITHOUT_STYLE_BOX,Otros,RV Sector Energía Alternativa,100.0,0.0,0.0,0.0
LU0340559557,Pictet-Timber P EUR,ALL_CONFLICTS,25,EQUITY,US_EQUITY,US,UNKNOWN,MID,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,REGION_PRIMARY_BORDERLINE,EQUITY_WITHOUT_STYLE_BOX,RV,RV Sector Recursos Naturales,100.0,0.0,0.0,0.0
LU0455556406,UBS (Lux) Bond SICAV - Global Inflation-linked (USD) (EUR hedged) P-acc,ALL_CONFLICTS,25,FIXED_INCOME,INFLATION_LINKED_BOND,GLOBAL,UNKNOWN,UNKNOWN,HIGH_QUALITY,UNKNOWN,LOW,True,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,Otros,Morningstar Global Treasury Inflation-Linked Securities GR Hedged EUR,0.0,100.0,0.0,0.0
LU0546917344,Goldman Sachs Euro Long Duration Bond - P Cap EUR,ALL_CONFLICTS,25,FIXED_INCOME,CORPORATE_BOND,EUROZONE,UNKNOWN,UNKNOWN,UNKNOWN,LONG,LOW,False,0.9612,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT,Otros,RF Largo Plazo EUR,0.0,100.0,0.0,0.0
LU0935222900,Natixis AM Funds - Ostrum Euro Inflation R/A (EUR),ALL_CONFLICTS,25,FIXED_INCOME,INFLATION_LINKED_BOND,EUROZONE,UNKNOWN,UNKNOWN,HIGH_QUALITY,UNKNOWN,LOW,True,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,RF,RF Bonos Ligados Inflación EUR,0.0,100.0,0.0,0.0
LU1080015693,Edmond de Rothschild Fund - Emerging Credit A EUR Hedged,ALL_CONFLICTS,25,FIXED_INCOME,EMERGING_MARKETS_BOND,GLOBAL,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,UNKNOWN,MEDIUM,False,0.97,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION,RF,RF Deuda Corporativa Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
